# 전체 on-CPU inclusive 함수 표 — 1840개 (컷오프 없음)
# denom = total_samples = 147236

  %total   samples  func
   0.052        76  heap_create_insert_context
   0.052        76  btree_unique_stats::btree_unique_stats@plt
   0.051        75  create_mspace_with_base
   0.051        75  log_sysop_end_begin
   0.051        75  mr_cmpval_int
   0.050        74  log_change_tran_as_completed
   0.050        74  xlog_get_page_request_with_reply
   0.050        74  log_can_skip_undo_logging
   0.050        74  locator_savepoint_transient_class_name_entries
   0.050        74  spage_verify_header
   0.050        73  vacuum_process_log_record
   0.049        72  cubthread::entry::get_id
   0.049        72  pgbuf_lockfree_unfix_ro
   0.048        71  __libc_disable_asynccancel
   0.048        71  heap_prepare_object_page
   0.048        71  btree_get_root_header
   0.048        70  cubthread::entry_manager::recycle_context
   0.048        70  xs_receive_data_from_client_with_timeout
   0.047        69  thread_suspend_with_other_mutex
   0.047        69  __tls_get_addr@plt
   0.047        69  cubthread::worker_pool::core::get_task_or_become_available
   0.046        67  css_return_queued_error
   0.046        67  cubthread::entry::get_id@plt
   0.046        67  LSA_ISNULL
   0.046        67  hl_fixed_alloc
   0.045        66  mvcctable::update_global_oldest_visible
   0.045        66  __pthread_mutex_cond_lock
   0.045        66  css_send_data_to_client
   0.045        66  qexec_execute_mainblock_internal
   0.045        66  rmutex_unlock@plt
   0.045        66  std::chrono::_V2::steady_clock::now
   0.045        66  spage_initialize
   0.045        66  pgbuf_remove_watcher
   0.045        66  logtb_get_system_tdes
   0.044        65  std::_Rb_tree_rebalance_for_erase
   0.044        65  mspace_free
   0.044        65  logtb_find_wait_msecs
   0.043        64  cubconn::connection::coordinator::get_monotonic_ns
   0.043        64  log_tdes::on_sysop_start
   0.043        63  locator_recv_allocate_copyarea
   0.043        63  logtb_tran_btid_hash_func
   0.042        62  mvcc_is_mvcc_disabled_class@plt
   0.041        61  log_tdes::is_system_worker_transaction@plt
   0.041        61  btree_perf_track_time<btree_insert_helper>
   0.041        61  lf_tran_end@plt
   0.041        60  lock_res_key_hash
   0.041        60  heap_hash_vpid
   0.041        60  lock_dealloc_resource
   0.040        59  vacuum_job_cursor::force_data_update
   0.040        59  cubconn::master::connector::execute
   0.040        59  logpb_flush_pages
   0.040        59  init_user_mstate
   0.040        59  pgbuf_fix_release@plt
   0.040        59  log_zip@plt
   0.040        59  vacuum_fetch_log_page
   0.039        58  boot_find_root_heap
   0.039        58  log_tdes::on_sysop_end
   0.039        58  or_class_name
   0.039        58  css_remove_list_from_head
   0.039        57  xlocator_fetch
   0.039        57  qexec_intprt_fnc
   0.039        57  operator new@plt
   0.039        57  pgbuf_lru_fall_bcb_to_zone_3
   0.039        57  pgbuf_get_vpid_ptr
   0.039        57  btree_find_split_point
   0.039        57  ATOMIC_INC_64<unsigned long, int>
   0.038        56  pgbuf_thread_variables_init
   0.038        56  mr_index_writeval_int
   0.038        56  pgbuf_lru_adjust_zone1
   0.038        56  btree_compare_key@plt
   0.037        55  _M_manager
   0.037        55  pgbuf_lock_page
   0.037        54  __gthread_mutex_lock
   0.037        54  logtb_is_tran_modification_disabled
   0.036        53  btree_node_number_of_keys@plt
   0.036        53  operator new[]
   0.036        53  heap_attrinfo_read_dbvalues@plt
   0.036        53  pgbuf_timed_sleep
   0.035        52  heap_attrinfo_recache
   0.035        52  btree_perf_track_traverse_time<btree_insert_helper>
   0.035        52  log_does_allow_replication
   0.035        51  cubthread::daemon::register_stat_execute
   0.035        51  tsc_elapsed_time_usec
   0.035        51  prior_lsa_end_append
   0.035        51  btree_mvcc_info_from_heap_mvcc_header
   0.035        51  LZ4_write32
   0.035        51  logtb_tran_update_unique_stats@plt
