# 전체 on-CPU inclusive 함수 표 — 1615개 (컷오프 없음)
# denom = total_samples = 126337

  %total   samples  func
   0.195       246  tbb::detail::d2::micro_queue<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >::prepare_page(unsigned long, tbb::detail::d2::concurrent_queue_rep<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >::padded_page>, tbb::detail::d2::micro_queue<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >::padded_page*&)::{lambda()#1}::operator()
   0.193       244  __calloc
   0.192       242  btree_fix_root_with_info
   0.184       232  cuberr::context::pop_error_stack
   0.183       231  or_get_domain
   0.182       230  logpb_copy_page
   0.181       229  or_rep_id
   0.180       228  logpb_writev_append_pages
   0.180       227  fileio_set_page_lsa
   0.177       223  pgbuf_wakeup_reader_writer
   0.175       221  cub_strdup
   0.172       217  set_waiter_exists
   0.167       211  heap_update_set_prev_version
   0.166       210  pgbuf_unlatch_thrd_holder
   0.164       207  __pthread_cond_wait
   0.162       205  __gthread_mutex_unlock
   0.159       201  cubpl::session::is_sp_running
   0.159       201  mvcc_is_mvcc_disabled_class
   0.158       200  heap_get_mvcc_header
   0.158       199  vacuum_master_task::execute
   0.154       195  heap_attrvalue_point_fixed
   0.153       193  spage_update_record_in_place
   0.151       191  std::_Function_base::_Base_manager<std::_Bind<void (cubmem::single_block_allocator::*(cubmem::single_block_allocator*, std::_Placeholder<1>))(cubmem::block&)> >::_M_manager
   0.150       189  heap_scancache_quick_start_root_hfid
   0.149       188  cubmem::single_block_allocator::reserve
   0.146       184  or_mvcc_get_header
   0.145       183  cubconn::transmitter::clear
   0.145       183  cubmem::block_allocator::block_allocator
   0.141       178  css_traverse_list
   0.140       177  oid_check_cached_class_oid
   0.140       177  locator_allocate_copy_area_by_length
   0.139       176  cuberr::er_message::er_message
   0.139       176  log_append_redo_crumbs
   0.139       175  lock_alloc_resource
   0.136       172  cubpl::session::is_thread_involved
   0.135       170  pgbuf_lru_remove_bcb
   0.134       169  vacuum_log_vacuum_heap_page
   0.132       167  css_add_queue_entry
   0.131       165  log_append_redo_data
   0.128       162  hl_lea_alloc
   0.128       162  lock_event_set_xasl_id_to_entry
   0.123       155  mht_get
   0.123       155  lock_res_key_hash
   0.122       154  lock_insert_into_tran_hold_list
   0.122       154  perfmon_is_perf_tracking
   0.120       152  pgbuf_ordered_unfix
   0.120       152  pgbuf_hash_func_mirror
   0.119       150  cuberr::context::get_thread_local_context
   0.119       150  logtb_find_tranid
   0.118       149  sqmgr_execute_query
   0.116       146  mr_cmpval_int
   0.111       140  LOG_FIND_CURRENT_TDES
   0.111       140  xdisk_get_purpose
   0.110       139  spage_is_unknown_slot
   0.110       139  locator_unpack_copy_area_descriptor
   0.108       136  cubconn::connection::worker::get_time_ns
   0.108       136  heap_scancache::end_area
   0.108       136  or_header_size
   0.105       133  btree_glean_root_header_info
   0.104       132  malloc@plt
   0.104       132  heap_update_adjust_recdes_header
   0.104       131  logtb_is_interrupted
   0.103       130  cubconn::connection::worker::handle_command_header_packet
   0.103       130  pgbuf_bcb_register_fix
   0.103       130  ATOMIC_CAS_ADDR<void>
   0.102       129  xqmgr_execute_query
   0.101       128  spage_get_record@plt
   0.100       126  cubthread::wp_worker_statset_time_and_increment
   0.099       125  heap_scancache::assign_recdes_to_area
   0.099       125  cuberr::er_message::swap
   0.099       125  logtb_get_current_tran_index
   0.098       124  spage_save_space
   0.098       124  LZ4_NbCommonBytes
   0.097       123  cubmem::single_block_allocator::~single_block_allocator
   0.097       123  logpb_next_append_page
   0.097       123  heap_hfid_table_entry_key_hash
   0.097       122  clock_gettime@plt
   0.096       121  heap_page_get_vacuum_status
   0.096       121  logpb_fetch_page
   0.095       120  pgbuf_replace_watcher
   0.094       119  vacuum_get_log_blockid
   0.094       119  __vdso_clock_gettime
   0.094       119  heap_prepare_object_page
   0.093       117  slocator_fetch
   0.092       116  perfmon_add_stat
   0.092       116  logpb_locate_page
   0.092       116  mspace_malloc
   0.092       116  er_stack_push
   0.091       115  logtb_find_client_type
   0.091       115  LZ4_write16
   0.091       115  lock_get_hash_value
   0.090       114  hl_clear_lea_heap
   0.090       114  cubconn::receiver::parse_size
   0.089       113  db_value_domain_init
   0.089       112  thread_suspend_with_other_mutex
   0.089       112  pthread_mutex_lock@plt
   0.087       110  logpb_copy_page_from_log_buffer
   0.087       110  er_clear
   0.087       110  locator_recv_allocate_copyarea
   0.086       109  stran_server_commit
   0.086       109  logtb_get_current_mvccid
   0.085       108  cuberr::er_message::~er_message
   0.085       107  log_sysop_end_final
   0.085       107  pgbuf_set_dirty_buffer_ptr
   0.085       107  btree_read_fixed_portion_of_non_leaf_record_from_orbuf
   0.084       106  perfmon_inc_stat
   0.083       105  dwb_flush_block_daemon_task::execute
   0.082       104  __pthread_disable_asynccancel
   0.082       103  mspace_free
   0.080       101  __pthread_enable_asynccancel
   0.079       100  std::vector<cubbase::span<std::byte>, std::allocator<cubbase::span<std::byte> > >::_M_realloc_insert<std::byte*, int>
   0.079       100  pgbuf_find_thrd_holder
   0.078        99  crypt_crc32
   0.078        98  qmgr_process_query
   0.078        98  cubconn::receiver::parse_packet
   0.078        98  session_get_session_state
   0.078        98  heap_scancache_reset_modify
   0.078        98  heap_create_update_context
   0.077        97  qexec_execute_query
   0.077        97  __GI___pthread_mutex_unlock
   0.077        97  css_return_queued_error
   0.077        97  or_class_name
   0.076        96  btree_get_root_header
   0.075        95  css_send_data_to_client
   0.075        95  pgbuf_lru_boost_bcb
   0.074        94  pthread_mutex_unlock@plt
   0.074        94  heap_attrinfo_clear_dbvalues
   0.074        94  heap_init_get_context
   0.074        94  locator_add_or_remove_index_internal
   0.074        94  logtb_tran_update_unique_stats
   0.074        94  btree_insert
   0.074        94  btree_insert_internal
   0.074        94  btree_fix_root_for_insert
   0.074        93  pgbuf_set_dirty
   0.074        93  logtb_tran_update_btid_unique_stats
   0.074        93  logtb_tran_find_btid_stats
   0.074        93  logtb_tran_create_btid_unique_stats
   0.073        92  heap_scancache_block_allocate
   0.073        92  logpb_set_dirty
   0.073        92  pr_type_from_id
   0.072        91  cubthread::daemon::register_stat_pause
   0.072        91  pr_clear_value
   0.072        91  xlocator_fetch
   0.072        91  LZ4_write32
   0.071        90  spage_get_record_type
   0.070        89  spage_get_slot
   0.070        88  _M_invoke
   0.070        88  lf_callback_vpid_hash
   0.070        88  btree_clear_key_value
   0.070        88  LZ4_isLittleEndian
   0.067        85  or_get_int
   0.066        84  css_make_queue_entry
   0.066        84  heap_get_record_location
   0.066        83  btree_leaf_get_first_object
   0.065        82  heap_attrinfo_access
   0.065        82  pgbuf_search_hash_chain_no_bcb_lock
   0.064        81  logpb_write_page_to_disk
   0.064        81  rmutex_lock@plt
   0.064        81  pgbuf_is_lsa_temporary
   0.063        80  btree_compare_key@plt
   0.063        80  heap_update_physical
   0.063        79  LSA_EQ
   0.063        79  pgbuf_find_current_wait_msecs
   0.063        79  pgbuf_remove_watcher
   0.062        78  qexec_execute_mainblock
   0.062        78  locator_savepoint_transient_class_name_entries
   0.061        77  cubthread::entry::get_id
   0.061        77  cubthread::entry_manager::recycle_context
   0.059        75  cubthread::get_entry@plt
   0.059        75  mr_initval_int
   0.059        74  log_commit
   0.059        74  css_push_server_task
   0.059        74  log_tdes::is_system_worker_transaction@plt
   0.058        73  xtran_server_commit
   0.058        73  log_get_parent_lsa_system_op
   0.058        73  prior_lsa_append_data
   0.058        73  btree_get_node_header
   0.057        72  create_mspace_with_base
   0.057        72  logwr_pack_log_pages
   0.056        71  heap_attrvalue_transform_to_dbvalue
   0.056        71  logtb_find_current_tranid@plt
   0.055        70  free@plt
   0.055        70  btree_node_number_of_keys
   0.055        70  pgbuf_remove_from_lru_list
   0.055        69  heap_clear_operation_context
   0.055        69  unpack_domain
   0.054        68  qexec_execute_update
   0.054        68  std::chrono::_V2::system_clock::now@plt
   0.054        68  log_commit_local
   0.054        68  logpb_start_append
   0.053        67  ATOMIC_CAS_32<int, int, int>
   0.053        67  lf_tran_end@plt
   0.052        66  pgbuf_lru_add_new_bcb_to_middle
   0.052        66  or_header_size@plt
   0.052        66  heap_attrinfo_recache
   0.051        65  std::_Function_base::_Base_manager<std::_Bind<void (cubmem::single_block_allocator::*(cubmem::single_block_allocator*, std::_Placeholder<1>, std::_Placeholder<2>))(cubmem::block&, unsigned long)> >::_M_manager
   0.051        65  std::vector<cubbase::span<std::byte>, std::allocator<cubbase::span<std::byte> > >::_M_realloc_insert<std::byte*&, unsigned long>
   0.051        65  css_find_queue_entry_by_key
   0.051        65  prm_get_integer_value
   0.051        65  logpb_get_log_buffer
   0.051        65  log_zip@plt
   0.051        65  or_init
   0.051        64  __tls_get_addr@plt
   0.051        64  css_is_request_aborted
   0.051        64  operator new@plt
   0.050        63  pgbuf_bcb_change_zone
   0.049        62  log_check_ha_delay_info_execute
   0.049        62  xlog_get_page_request_with_reply
   0.049        62  cubthread::worker_pool::core::get_task_or_become_available
   0.049        62  logtb_is_active
   0.048        61  _M_manager
   0.048        61  log_tdes::is_system_worker_transaction
   0.048        61  lock_dealloc_resource
   0.047        59  __libc_disable_asynccancel
   0.047        59  tp_domain_resolve_default
   0.047        59  memcpy@plt
   0.047        59  heap_compare_vpid
   0.046        58  catcls_get_apply_info_log_record_time
   0.046        58  cubconn::connection::coordinator::get_monotonic_ns
   0.046        58  operator()
   0.046        58  logtb_find_isolation
   0.046        58  log_is_in_crash_recovery
   0.046        58  pgbuf_remove_thrd_holder
   0.046        58  __bswap_32
   0.045        57  mvcctable::update_global_oldest_visible
   0.045        57  db_private_alloc_release
   0.045        57  css_remove_list_from_head
   0.044        56  vacuum_job_cursor::force_data_update
   0.044        56  init_user_mstate
   0.044        56  pgbuf_allocate_thrd_holder_entry
   0.044        56  lf_hash_delete_internal
   0.044        55  xs_receive_data_from_client_with_timeout
   0.044        55  heap_scancache_check_with_hfid
   0.043        54  cubconn::master::connector::execute
   0.043        54  __strlen_evex
   0.043        54  std::chrono::_V2::steady_clock::now
   0.043        54  cubthread::is_single_thread@plt
   0.043        54  oid_check_cached_class_oid@plt
   0.043        54  LZ4_compressBound
   0.042        53  or_chn
   0.042        53  log_can_skip_undo_logging
   0.041        52  boot_find_root_heap
   0.041        52  logtb_find_wait_msecs
   0.040        51  pgbuf_thread_variables_init
   0.040        51  lock_object@plt
   0.040        51  mvcc_snapshot::mvcc_snapshot
   0.040        51  std::_Function_handler<void (), css_send_reply_and_2_data_to_client(css_conn_entry*, unsigned int, char*, int, char*, int, char*, int, std::function<void ()>&&)::{lambda()#1}>::_M_invoke
   0.040        51  LZ4_isAligned
   0.040        50  cubthread::daemon::register_stat_execute
   0.040        50  logpb_set_page_checksum
   0.040        50  log_change_tran_as_completed
   0.040        50  logpb_flush_pages
   0.040        50  pgbuf_fix_release@plt
   0.040        50  ATOMIC_INC_64<unsigned long, int>
   0.039        49  cubthread::worker_pool::execute_on_core
   0.039        49  log_zip_realloc_if_needed
   0.039        49  locator_send_copy_area
   0.038        48  thread_suspend_timeout_wakeup_and_unlock_entry
   0.037        47  mvcctable::compute_oldest_visible_mvccid
   0.037        47  qexec_execute_mainblock_internal
   0.037        47  tp_domain_disk_size
   0.037        47  xdisk_get_purpose@plt
   0.037        47  heap_scancache_block_deallocate
   0.037        47  log_tdes::on_sysop_start
   0.036        46  cubconn::connection::worker::statistics_metrics_to_coordinator
   0.036        46  logtb_get_mvcc_snapshot
   0.036        46  log_tdes::on_sysop_end
   0.036        45  css_send_reply_and_data_to_client
   0.036        45  cuberr::er_message::clear_error@plt
   0.036        45  or_mvcc_set_log_lsa_to_record
   0.035        44  std::_Rb_tree_rebalance_for_erase
   0.035        44  css_add_list
   0.035        44  cuberr::er_message::clear_message_area
   0.035        44  LOG_FIND_TDES@plt
   0.035        44  lf_tran_start@plt
   0.035        44  heap_attrinfo_clear_dbvalues@plt
   0.035        44  heap_hfid_table_entry_key_compare
   0.034        43  cubthread::worker_pool::core::get_entry_manager
   0.034        43  prior_lsa_start_append
   0.033        42  cuberr::context::clear_current_error_level
   0.033        42  or_unpack_int
   0.033        42  logtb_is_tran_modification_disabled
   0.033        42  lock_delete_from_tran_hold_list
   0.032        41  cubthread::is_single_thread
   0.032        41  er_is_initialized@plt
   0.032        41  pgbuf_get_vpid_ptr@plt
   0.032        41  cubthread::entry::get_id@plt
   0.032        40  __condvar_cancel_waiting
